,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary
0,72050507,False,Junior Data Analyst,,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 60000, 'to': 120000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Малый Дровяной переулок', 'building': '3с2', 'description': None, 'lat': 55.745605, 'lng': 37.656766, 'raw': 'Москва, Малый Дровяной переулок, 3с2', 'metro': {'station_name': 'Марксистская', 'line_name': 'Калининская', 'station_id': '8.78', 'line_id': '8', 'lat': 55.740746, 'lng': 37.65604}, 'metro_stations': [{'station_name': 'Марксистская', 'line_name': 'Калининская', 'station_id': '8.78', 'line_id': '8', 'lat': 55.740746, 'lng': 37.65604}, {'station_name': 'Таганская', 'line_name': 'Кольцевая', 'station_id': '5.76', 'line_id': '5', 'lat': 55.742396, 'lng': 37.653334}, {'station_name': 'Таганская', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.77', 'line_id': '7', 'lat': 55.739502, 'lng': 37.653605}], 'id': '3615730'}",,,2022-11-08T09:22:14+0300,2022-11-08T09:22:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=72050507,,https://api.hh.ru/vacancies/72050507?host=hh.ru,https://api.hh.ru/vacancies/72050507/adv_response?host=hh.ru,https://hh.ru/vacancy/72050507,[],"{'id': '4531474', 'name': 'WhoIsBlogger (WIB)', 'url': 'https://api.hh.ru/employers/4531474', 'alternate_url': 'https://hh.ru/employer/4531474', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3327296.png', '240': 'https://hhcdn.ru/employer-logo/3327297.png', 'original': 'https://hhcdn.ru/employer-logo-original/721550.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4531474', 'trusted': True}","{'requirement': 'Знание Excel. Знание Python в качестве инструмента <highlighttext>аналитики</highlighttext> (Pandas, matplotlib). Опыт работы с Jira / Confluence / Jenkins. Опыт работы с одной...', 'responsibility': 'Реализация различных проектных задач, связанных со сбором и обработкой данных с использованием SQL. Подготовка и очистка данных для реализации типовых...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
1,72082374,True,Data Analyst / Data Scientist (GameDev),,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-11-08T16:33:26+0300,2022-11-08T16:33:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=72082374,,https://api.hh.ru/vacancies/72082374?host=hh.ru,https://api.hh.ru/vacancies/72082374/adv_response?host=hh.ru,https://hh.ru/vacancy/72082374,[],"{'id': '3583636', 'name': 'Amaya Soft', 'url': 'https://api.hh.ru/employers/3583636', 'alternate_url': 'https://hh.ru/employer/3583636', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/568229.jpg', '90': 'https://hhcdn.ru/employer-logo/2714385.jpeg', '240': 'https://hhcdn.ru/employer-logo/2714386.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3583636', 'trusted': True}","{'requirement': 'Опыт работы от 2х лет на позиции <highlighttext>аналитика</highlighttext>. Уверенное владение SQL, владение Python. Хорошее знание математической статистики и методов...', 'responsibility': 'Анализ данных, получаемых от мобильных приложений. Участие в проведении экспериментов (А/B тестов). Создание аналитических отчетов и подготовка заключений о...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True
2,71080058,False,Data Analyst,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 20000, 'to': 50000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-11-08T18:05:20+0300,2022-11-08T18:05:20+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=71080058,,https://api.hh.ru/vacancies/71080058?host=hh.ru,https://api.hh.ru/vacancies/71080058/adv_response?host=hh.ru,https://hh.ru/vacancy/71080058,[],"{'id': '4008572', 'name': 'MacBuildServer', 'url': 'https://api.hh.ru/employers/4008572', 'alternate_url': 'https://hh.ru/employer/4008572', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4008572', 'trusted': True}","{'requirement': '...Linux/Unix Shell. Базовый опыт визуализации данных (metabase, datastudio, powerbi, tableau,superset или т.п.). Интерес к <highlighttext>аналитике</highlighttext> цифровых продуктов.', 'responsibility': 'Изучать бизнес-данные и продумывать оптимальные алгоритмы их обработки. Писать скрипты для обработки данных на SQL и Python. '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True
3,72082373,True,Data Analyst / Data Scientist (GameDev),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-11-08T16:33:26+0300,2022-11-08T16:33:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=72082373,,https://api.hh.ru/vacancies/72082373?host=hh.ru,https://api.hh.ru/vacancies/72082373/adv_response?host=hh.ru,https://hh.ru/vacancy/72082373,[],"{'id': '3583636', 'name': 'Amaya Soft', 'url': 'https://api.hh.ru/employers/3583636', 'alternate_url': 'https://hh.ru/employer/3583636', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/568229.jpg', '90': 'https://hhcdn.ru/employer-logo/2714385.jpeg', '240': 'https://hhcdn.ru/employer-logo/2714386.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3583636', 'trusted': True}","{'requirement': 'Опыт работы от 2х лет на позиции <highlighttext>аналитика</highlighttext>. Уверенное владение SQL, владение Python. Хорошее знание математической статистики и методов...', 'responsibility': 'Анализ данных, получаемых от мобильных приложений. Участие в проведении экспериментов (А/B тестов). Создание аналитических отчетов и подготовка заключений о...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True
4,71778404,False,Senior Data Analyst,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 4500, 'to': 5000, 'currency': 'USD', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-11-06T15:56:43+0300,2022-11-06T15:56:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=71778404,,https://api.hh.ru/vacancies/71778404?host=hh.ru,https://api.hh.ru/vacancies/71778404/adv_response?host=hh.ru,https://hh.ru/vacancy/71778404,[],"{'id': '9111934', 'name': 'ТРТ', 'url': 'https://api.hh.ru/employers/9111934', 'alternate_url': 'https://hh.ru/employer/9111934', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9111934', 'trusted': True}","{'requirement': 'Knowledge of Python/R and the corresponding frameworks for working with <highlighttext>data</highlighttext> (preferably Python, a backend on it). ', 'responsibility': 'Collect requirements and formalize them into tasks for improvements to the <highlighttext>data</highlighttext> storage system. Perform Ad hoc <highlighttext>data</highlighttext> analysis on...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True
5,71811656,False,Аналитик данных,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 110000, 'to': 250000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-11-07T12:52:37+0300,2022-11-07T12:52:37+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=71811656,,https://api.hh.ru/vacancies/71811656?host=hh.ru,https://api.hh.ru/vacancies/71811656/adv_response?host=hh.ru,https://hh.ru/vacancy/71811656,[],"{'id': '839098', 'name': 'Автомакон', 'url': 'https://api.hh.ru/employers/839098', 'alternate_url': 'https://hh.ru/employer/839098', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/4221269.png', '90': 'https://hhcdn.ru/employer-logo/4221268.png', 'original': 'https://hhcdn.ru/employer-logo-original/945183.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=839098', 'trusted': True}","{'requirement': 'Уверенный опыт программирования на Python (не менее 1 года). Уверенные знания SQL и опыт работы с базами данных. ', 'responsibility': 'Извлечение, преобразование, загрузка данных и их обработка. Формирование отчетов, визуализация данных. Общение с представителями заказчика, формализация требований к проектам. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
6,71980839,False,Data analyst Colombia,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 2500, 'to': 3000, 'currency': 'USD', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-11-06T18:12:31+0300,2022-11-06T18:12:31+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=71980839,,https://api.hh.ru/vacancies/71980839?host=hh.ru,https://api.hh.ru/vacancies/71980839/adv_response?host=hh.ru,https://hh.ru/vacancy/71980839,[],"{'id': '180028', 'name': 'Finstar Financial Group', 'url': 'https://api.hh.ru/employers/180028', 'alternate_url': 'https://hh.ru/employer/180028', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/685633.jpg', '240': 'https://hhcdn.ru/employer-logo/3183665.jpeg', '90': 'https://hhcdn.ru/employer-logo/3183664.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=180028', 'trusted': True}","{'requirement': 'Python). Experience working with large <highlighttext>data</highlighttext> sets and using predictive analysis/modeling to drive business results. Experience with databases (SQL...', 'responsibility': 'Building different types of models (e.g. credit, propensity to buy, collection, best next offer etc.) to drive growth and...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
7,54012112,False,Business analyst (junior/middle),,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 120000, 'to': 200000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'улица Правды', 'building': '26', 'description': None, 'lat': 55.7906876572, 'lng': 37.5847012712, 'raw': 'Москва, улица Правды, 26', 'metro': {'station_name': 'Белорусская', 'line_name': 'Замоскворецкая', 'station_id': '2.19', 'line_id': '2', 'lat': 55.777439, 'lng': 37.582107}, 'metro_stations': [{'station_name': 'Белорусская', 'line_name': 'Замоскворецкая', 'station_id': '2.19', 'line_id': '2', 'lat': 55.777439, 'lng': 37.582107}, {'station_name': 'Савёловская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.128', 'line_id': '9', 'lat': 55.794054, 'lng': 37.587163}], 'id': '1494631'}",,,2022-11-08T22:03:39+0300,2022-11-08T22:03:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54012112,,https://api.hh.ru/vacancies/54012112?host=hh.ru,https://api.hh.ru/vacancies/54012112/adv_response?host=hh.ru,https://hh.ru/vacancy/54012112,[],"{'id': '205152', 'name': 'Mindbox', 'url': 'https://api.hh.ru/employers/205152', 'alternate_url': 'https://hh.ru/employer/205152', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3742331.png', '240': 'https://hhcdn.ru/employer-logo/3742332.png', 'original': 'https://hhcdn.ru/employer-logo-original/825361.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=205152', 'trusted': True}","{'requirement': 'Прорабатывать сценарии использования продукта и улучшать клиентский опыт. Умеете раскапывать самые неочевидные клиентские сценарии и преобразовывать их в продуктовые истории. ', 'responsibility': 'Ставить задачи разработке и дизайнерам на основе интервью с клиентами и анализа поддержки, а также осуществлять приемку этих задач. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
8,72003450,False,Data Analyst,"{'id': '3529-3529-prof', 'name': 'Сбер для экспертов'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-11-07T10:49:14+0300,2022-11-07T10:49:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=72003450,,https://api.hh.ru/vacancies/72003450?host=hh.ru,https://api.hh.ru/vacancies/72003450/adv_response?host=hh.ru,https://hh.ru/vacancy/72003450,[],"{'id': '3529', 'name': 'СБЕР', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/868362.JPG', '90': 'https://hhcdn.ru/employer-logo/3914323.jpeg', '240': 'https://hhcdn.ru/employer-logo/3914324.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'trusted': True}","{'requirement': 'Хорошие знания SQL. Знания Python. Понимание баз данных Oracle и Teradata как преимущество. Базовые знания математической статистики или теории вероятностей. ', 'responsibility': 'Собирать данные из различных источников. Формировать метрики. Делать выводы из данных. Визуализировать данные. Находить пробелы и аномалии в данных. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
9,72064164,False,Data Analyst Python,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-11-08T12:08:35+0300,2022-11-08T12:08:35+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=72064164,,https://api.hh.ru/vacancies/72064164?host=hh.ru,https://api.hh.ru/vacancies/72064164/adv_response?host=hh.ru,https://hh.ru/vacancy/72064164,[],"{'id': '4683890', 'name': 'Доценко Дарья', 'url': 'https://api.hh.ru/employers/4683890', 'alternate_url': 'https://hh.ru/employer/4683890', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4683890', 'trusted': False}","{'requirement': 'The team consists of motivated, expert artisans who have been meticulously picked and professionally ""spread"" around the organization\'s territory. ', 'responsibility': 'Typical Duties Include:'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
